,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,Sudoeste,-15.848741,-48.067949,27,15.8,3.25,0,0
1,Águas Claras,-15.835754999999999,-48.023703999999995,16,9.4,9.38,0,0
2,Recanto Das Emas,-15.916970000000001,-48.101851,0,0.0,0.00,0,0
3,Samambaia,-15.874647,-48.101735,2,1.2,0.82,0,0
4,Taguatinga,-15.829303,-48.055925,6,3.5,2.88,0,0
5,Vicente Pires,-15.80135,-48.029207,3,1.8,4.08,0,0
6,Central,-15.787416,-47.904364,114,66.7,29.03,0,0
7,Plano Piloto,-15.79558,-47.880990999999995,50,29.2,21.71,0,0
8,Sudoeste/Octogonal,-15.791981,-47.929973,19,11.1,34.38,0,0
9,Cruzeiro,-15.783460999999999,-47.935849,4,2.3,12.96,0,0
10,Lago Norte,-15.716135999999999,-47.872314,5,2.9,13.47,0,0
11,Lago Sul,-15.866769,-47.863069,36,21.1,118.73,0,0
12,Varjão Do Torto,-15.709045999999999,-47.878307,0,0.0,0.00,0,0
13,Centro Sul,-15.832904000000001,-47.964603000000004,15,8.8,3.94,0,0
14,Candangolândia,-15.850394,-47.948315,0,0.0,0.00,0,0
15,Parkway,-15.912218,-47.958777000000005,3,1.8,13.01,0,0
16,Guará,-15.819059,-47.979659999999996,10,5.8,7.11,0,0
17,Núcleo Bandeirante,-15.872164000000001,-47.968502,1,0.6,4.16,0,0
18,Riacho Fundo I,-15.882885,-48.016892999999996,1,0.6,2.28,0,0
19,Riacho Fundo Ii,-15.924313,-48.037374,0,0.0,0.00,0,0
20,SCIA (Estrutural),-15.783705,-47.987221999999996,0,0.0,0.00,0,0
21,Norte,-15.661909,-47.813598,5,2.9,1.41,0,0
22,Fercal,-15.598803,-47.86915,0,0.0,0.00,0,0
23,Planaltina,-15.713838,-47.520359,2,1.2,1.02,0,0
24,Sobradinho I,-15.653501,-47.802873999999996,2,1.2,2.81,0,0
25,Sobradinho II,-15.621837,-47.803434,1,0.6,1.28,0,0
26,Sul,-16.025131,-48.051063,3,1.8,1.10,0,0
27,Gama,-15.997929999999998,-48.145463,3,1.8,2.09,0,0
28,Santa Maria,-16.024697,-47.990179,0,0.0,0.00,0,0
29,Leste,-15.835614000000001,-47.715819,6,3.5,1.91,0,0
30,Jardim Botânico,-15.855691,-47.809974,3,1.8,5.16,0,0
31,Itapoã,-15.744747,-47.764271,0,0.0,0.00,0,0
32,Paranoá,-15.931541000000001,-47.525609,1,0.6,1.34,0,0
33,São Sebastião,-15.934012,-47.756858,2,1.2,1.72,0,0
34,Oeste,-15.76191,-48.139419000000004,1,0.6,0.20,0,0
35,Brazlândia,-15.631225,-48.131325,0,0.0,0.00,0,0
36,Ceilândia,-15.817297,-48.170522999999996,1,0.6,0.23,0,0
